"Recipient Type","Recipient Name","Nit o Identificacion","Workplace","Specialty","Categoria de la Transferencia","Date of Provision","Place","Purpose","Details","Amount (COP)"
"HCP","Dr. Sofia Lopez","CC-1338815620","Hospital Universitario San Ignacio (Bogotá)","Anestesiología","DONACIONES","2026-04-27","Bogotá","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260427-20",13611327
"HCP","Dr. Mateo Gutierrez","CC-1179170802","Fundación Santa Fe de Bogotá","Cardiología","HONORARIOS","2026-03-07","Bogotá","Contrato de advisory board farmacéutico","Factura CO-20260307-21",1062313
"HCP","Dr. Juan Ochoa","CC-1691906854","Clínica Foscal (Bucaramanga)","Neurología","REUNIONES","2026-03-17","Bucaramanga","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260317-22",323659
"HCP","Dr. Ricardo Rodriguez","CC-1580132870","Clínica Valle del Lili (Cali)","Radiología","REUNIONES","2026-03-24","Cali","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260324-23",201977
"HCP","Dr. Sofia Castro","CC-1043580461","Hospital Universitario San Ignacio (Bogotá)","Pediatría","HONORARIOS","2026-02-15","Bogotá","Servicios de consultoría médica especializada","Factura CO-20260215-24",1214673
"HCP","Dr. Luciana Hernandez","CC-1237005600","Hospital General de Medellín","Ginecología","REUNIONES","2026-04-11","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260411-25",351197
"HCP","Dr. Daniela Rodriguez","CC-1906285129","Fundación Cardioinfantil (Bogotá)","Pediatría","VIAJES","2026-02-08","Bogotá","Gastos de viáticos internacionales","Factura CO-20260208-26",665609
"HCP","Dr. Sofia Velasquez","CC-1545708465","Clínica Valle del Lili (Cali)","Radiología","VIAJES","2026-01-31","Cali","Gastos de traslado aéreo a congreso médico","Factura CO-20260131-27",1930470
"HCP","Dr. Mariana Gutierrez","CC-1205042094","Hospital Pablo Tobón Uribe (Medellín)","Dermatología","HONORARIOS","2026-04-17","Medellín","Contrato de advisory board farmacéutico","Factura CO-20260417-28",698151
"HCP","Dr. Claudia Gonzalez","CC-1858705830","Hospital Departamental de Villavicencio","Cardiología","REUNIONES","2026-02-14","Villavicencio","Participación en mesa redonda de oncología","Factura CO-20260214-29",750629
"HCP","Dr. Daniela Rojas","","Fundación Cardioinfantil (Bogotá)","Cardiología","VIAJES","2026-03-09","Bogotá","Alojamiento en hotel para convención científica","Factura CO-20260309-30",2462707
"INSTITUTION","Hospital Universitario San Ignacio (Bogotá)","NIT-835889320-9","","","VIAJES","2026-03-25","Bucaramanga","Alojamiento en hotel para convención científica","Factura CO-20260325-31",573628
"HCP","Dr. Camila Ochoa","CC-1892606643","Hospital General de Medellín","Anestesiología","HONORARIOS","2026-03-13","Medellín","Asesoría científica en junta médica","Factura CO-20260313-32",2244028
"HCP","Dr. Claudia Perez","CC-1768627888","Hospital Universitario San Ignacio (Bogotá)","Dermatología","DONACIONES","2026-03-15","Bogotá","Aporte liberal para centro de investigación pública","Factura CO-20260315-33",1670615
"HCP","Dr. Natalia Vargas","CE-852555","Clínica Valle del Lili (Cali)","Pediatría","REUNIONES","2026-01-28","Cali","Participación en mesa redonda de oncología","Factura CO-20260128-34",651593
"HCP","Dr. Gabriela Jimenez","CC-1125844318","Hospital General de Medellín","Anestesiología","REUNIONES","2026-02-04","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260204-35",361451
"HCP","Dr. Felipe Romero","CC-1530963009","Fundación Santa Fe de Bogotá","Anestesiología","REUNIONES","2026-05-10","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260510-36",236427
"HCP","Dr. Patricia Gutierrez","CC-1342553307","Hospital Departamental de Villavicencio","Ginecología","DONACIONES","2026-04-26","Villavicencio","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260426-37",3667457
"HCP","Dr. Camila Hernandez","CC-1520708607","Clínica Imbanaco (Cali)","Medicina Interna","HONORARIOS","2026-03-30","Cali","Docencia en conferencia regional de salud","Factura CO-20260330-38",1199104
"HCP","Dr. Jorge Gaviria","CE-193069","Clínica Imbanaco (Cali)","Anestesiología","VIAJES","2026-02-02","Cali","Gastos de traslado aéreo a congreso médico","Factura CO-20260202-39",1241011
"HCP","Dr. Alejandro Jimenez","CC-1312620944","Hospital General de Medellín","Anestesiología","HONORARIOS","2026-03-15","Medellín","Docencia en conferencia regional de salud","Factura CO-20260315-40",1147789
"INSTITUTION","Hospital Departamental de Villavicencio","NIT-998472552-1","","","VIAJES","2026-02-14","Cali","Gastos de viáticos internacionales","Factura CO-20260214-41",439268
"HCP","Dr. Santiago Castro","CC-1377475406","Hospital General de Medellín","Radiología","REUNIONES","2026-05-14","Medellín","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260514-42",648370
"HCP","Dr. Mariana Lopez","CC-1615372960","Fundación Cardioinfantil (Bogotá)","Oncología","REUNIONES","2026-04-19","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260419-43",121561
"HCP","Dr. Mateo Uribe","CC-1085472645","Hospital Departamental de Villavicencio","Pediatría","HONORARIOS","2026-02-11","Villavicencio","Asesoría científica en junta médica","Factura CO-20260211-44",631818
"HCP","Dr. Mauricio Lopez","CC-1190250537","Hospital Departamental de Villavicencio","Radiología","DONACIONES","2026-03-27","Villavicencio","Beca de estudio científico institucional","Factura CO-20260327-45",1880220
"HCP","Dr. Patricia Uribe","CC-1602128244","Clínica Imbanaco (Cali)","Neurología","HONORARIOS","2026-05-11","Cali","Servicios de consultoría médica especializada","Factura CO-20260511-46",2855248
"HCP","Dr. Carolina Ruiz","CC-1130972464","Hospital General de Medellín","Ginecología","DONACIONES","2026-04-29","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260429-47",2687545
"HCP","Dr. Jorge Martinez","CC-1489909351","Fundación Cardioinfantil (Bogotá)","Oncología","REUNIONES","2026-02-19","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260219-48",63290
"HCP","Dr. Luis Torres","CC-1099657444","Fundación Santa Fe de Bogotá","Cirugía General","DONACIONES","2026-04-13","Bogotá","Aporte liberal para centro de investigación pública","Factura CO-20260413-49",1689726
"INSTITUTION","Fundación Santa Fe de Bogotá","NIT-912359676-4","","","REUNIONES","2026-01-26","Barranquilla","Inscripción a simposio nacional de cardiología","Factura CO-20260126-50",665315
"INSTITUTION","Hospital Universitario San Ignacio (Bogotá)","NIT-322896761-2","","","REUNIONES","2026-02-16","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260216-51",636127
"HCP","Dr. Felipe Ruiz","CC-1824703500","Clínica Portoazul (Barranquilla)","Cirugía General","REUNIONES","2026-04-21","Barranquilla","Participación en mesa redonda de oncología","Factura CO-20260421-52",534243
"HCP","Dr. Camila Bermudez","CC-1704648121","Hospital Pablo Tobón Uribe (Medellín)","Oncología","DONACIONES","2026-04-06","Medellín","Aporte liberal para centro de investigación pública","Factura CO-20260406-53",9420265
"INSTITUTION","Clínica Imbanaco (Cali)","NIT-429174586-4","","","REUNIONES","2026-05-18","Cali","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260518-54",739964
"HCP","Dr. Nicolas Montoya","CC-1473368494","Hospital General de Medellín","Oncología","HONORARIOS","2026-03-18","Medellín","Docencia en conferencia regional de salud","Factura CO-20260318-55",254838
"HCP","Dr. Daniel Gaviria","CE-359323","Hospital Universitario San Ignacio (Bogotá)","Neurología","DONACIONES","2026-04-12","Bogotá","Beca de estudio científico institucional","Factura CO-20260412-56",3936818
"HCP","Dr. Salome Jimenez","CE-765017","Hospital Departamental de Villavicencio","Ginecología","HONORARIOS","2026-03-26","Villavicencio","Servicios de consultoría médica especializada","Factura CO-20260326-57",1247372
"HCP","Dr. Alvaro Sanchez","CE-490357","Clínica Valle del Lili (Cali)","Medicina Interna","HONORARIOS","2026-02-01","Cali","Docencia en conferencia regional de salud","Factura CO-20260201-58",1197492
"HCP","Dr. Gustavo Gonzalez","CC-1572959780","Fundación Santa Fe de Bogotá","Oncología","VIAJES","2026-04-08","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260408-59",3782832
"HCP","Dr. Santiago Gutierrez","CC-1487623372","Hospital Universitario San Ignacio (Bogotá)","Ginecología","VIAJES","2026-03-20","Bogotá","Gastos de viáticos internacionales","Factura CO-20260320-60",1022376
"HCP","Dr. Juan Uribe","CC-1100204803","Clínica Portoazul (Barranquilla)","Cirugía General","VIAJES","2026-02-21","Barranquilla","Gastos de traslado aéreo a congreso médico","Factura CO-20260221-61",3931427
"HCP","Dr. Carlos Torres","CC-1077376359","Clínica Imbanaco (Cali)","Cirugía General","DONACIONES","2026-03-09","Cali","Beca de estudio científico institucional","Factura CO-20260309-62",19824217
"HCP","Dr. Claudia Restrepo","CE-864963","Hospital Departamental de Villavicencio","Cirugía General","DONACIONES","2026-05-08","Villavicencio","Beca de estudio científico institucional","Factura CO-20260508-63",9325108
"HCP","Dr. Camila Bermudez","CC-1408855869","Fundación Santa Fe de Bogotá","Pediatría","VIAJES","2026-05-21","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260521-64",329374
"HCP","Dr. Sebastian Gaviria","CC-1438087164","Hospital General de Medellín","Oncología","HONORARIOS","2026-05-03","Medellín","Docencia en conferencia regional de salud","Factura CO-20260503-65",1220718
"INSTITUTION","Clínica Portoazul (Barranquilla)","NIT-388840310-2","","","REUNIONES","2026-03-31","Bucaramanga","Inscripción a simposio nacional de cardiología","Factura CO-20260331-66",366350
"HCP","Dr. Isabella Moreno","CC-1480104138","Hospital Pablo Tobón Uribe (Medellín)","Ginecología","DONACIONES","2026-03-27","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260327-67",17263143
"HCP","Dr. Claudia Martinez","CE-594406","Hospital Universitario San Ignacio (Bogotá)","Cardiología","VIAJES","2026-03-11","Bogotá","Gastos de viáticos internacionales","Factura CO-20260311-68",3531799
"HCP","Dr. Sofia Munoz","CC-1594187429","Fundación Cardioinfantil (Bogotá)","Oncología","REUNIONES","2026-05-09","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260509-69",684849
"HCP","Dr. Carlos Rojas","CE-838937","Hospital Departamental de Villavicencio","Dermatología","REUNIONES","2026-02-06","Villavicencio","Inscripción a simposio nacional de cardiología","Factura CO-20260206-70",689260
"HCP","Dr. Valeria Romero","CC-1592794619","Clínica Imbanaco (Cali)","Radiología","DONACIONES","2026-03-11","Cali","Donación de equipo ecográfico portátil","Factura CO-20260311-71",11438382
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-334894048-3","","","DONACIONES","2026-04-19","Bucaramanga","Beca de estudio científico institucional","Factura CO-20260419-72",25161404
"HCP","Dr. Andres Martinez","CC-1675277813","Hospital General de Medellín","Dermatología","REUNIONES","2026-03-09","Medellín","Participación en mesa redonda de oncología","Factura CO-20260309-73",768307
"HCP","Dr. Andres Restrepo","CC-1331358389","Clínica Imbanaco (Cali)","Cardiología","DONACIONES","2026-04-28","Cali","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260428-74",13125449
"HCP","Dr. Juan Velasquez","CC-1345396459","Clínica Valle del Lili (Cali)","Anestesiología","DONACIONES","2026-02-10","Cali","Aporte liberal para centro de investigación pública","Factura CO-20260210-75",14653187
"HCP","Dr. Claudia Velasquez","CC-1071276007","Hospital General de Medellín","Ginecología","DONACIONES","2026-04-10","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260410-76",14875065
"HCP","Dr. Natalia Torres","CC-1591389622","Fundación Santa Fe de Bogotá","Anestesiología","HONORARIOS","2026-04-01","Bogotá","Asesoría científica en junta médica","Factura CO-20260401-77",1860926
"HCP","Dr. Mariana Munoz","CC-1039663700","Hospital Pablo Tobón Uribe (Medellín)","Cirugía General","HONORARIOS","2026-04-05","Medellín","Contrato de advisory board farmacéutico","Factura CO-20260405-78",2481492
"HCP","Dr. Jorge Torres","CC-1250720161","Clínica Foscal (Bucaramanga)","Cardiología","HONORARIOS","2026-04-24","Bucaramanga","Docencia en conferencia regional de salud","Factura CO-20260424-79",383939
"HCP","Dr. Patricia Torres","CC-1194381766","Clínica Portoazul (Barranquilla)","Pediatría","REUNIONES","2026-04-16","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260416-80",642467
"HCP","Dr. Patricia Bermudez","CC-1059405024","Hospital General de Medellín","Ginecología","REUNIONES","2026-05-03","Medellín","Participación en mesa redonda de oncología","Factura CO-20260503-81",252075
"INSTITUTION","Clínica Imbanaco (Cali)","NIT-777222409-1","","","HONORARIOS","2026-02-20","Bogotá","Servicios de consultoría médica especializada","Factura CO-20260220-82",843712
"HCP","Dr. Salome Velasquez","CC-1685034698","Hospital General de Medellín","Cirugía General","REUNIONES","2026-02-28","Medellín","Inscripción a simposio nacional de cardiología","Factura CO-20260228-83",246933
"HCP","Dr. Sebastian Alvarez","CC-1162518603","Hospital Pablo Tobón Uribe (Medellín)","Dermatología","HONORARIOS","2026-03-11","Medellín","Docencia en conferencia regional de salud","Factura CO-20260311-84",341324
"HCP","Dr. Mateo Echeverri","CC-1771131732","Fundación Santa Fe de Bogotá","Ginecología","REUNIONES","2026-02-26","Bogotá","Participación en mesa redonda de oncología","Factura CO-20260226-85",183722
"HCP","Dr. Sofia Ortiz","CE-818566","Hospital General de Medellín","Oncología","VIAJES","2026-03-23","Medellín","Gastos de traslado aéreo a congreso médico","Factura CO-20260323-86",3996958
"HCP","Dr. Daniela Moreno","CC-1837215506","Hospital Pablo Tobón Uribe (Medellín)","Pediatría","REUNIONES","2026-02-22","Medellín","Participación en mesa redonda de oncología","Factura CO-20260222-87",325927
"HCP","Dr. Valeria Ortiz","CC-1321907278","Hospital Departamental de Villavicencio","Pediatría","DONACIONES","2026-04-19","Villavicencio","Beca de estudio científico institucional","Factura CO-20260419-88",25733462
"INSTITUTION","Hospital Pablo Tobón Uribe (Medellín)","NIT-870806241-9","","","DONACIONES","2026-03-04","Cali","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260304-89",18584847
"HCP","Dr. Diana Uribe","CC-1249988497","Hospital General de Medellín","Dermatología","VIAJES","2026-02-27","Medellín","Gastos de traslado aéreo a congreso médico","Factura CO-20260227-90",3574305
"HCP","Dr. Carlos Velasquez","CC-1765073236","Fundación Santa Fe de Bogotá","Neurología","DONACIONES","2026-03-04","Bogotá","Aporte liberal para centro de investigación pública","Factura CO-20260304-91",4793323
"INSTITUTION","Hospital Pablo Tobón Uribe (Medellín)","NIT-366380799-9","","","VIAJES","2026-05-09","Villavicencio","Gastos de traslado aéreo a congreso médico","Factura CO-20260509-92",739646
"HCP","Dr. Patricia Perez","CC-1040075215","Fundación Santa Fe de Bogotá","Cardiología","REUNIONES","2026-03-05","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260305-93",407639
"HCP","Dr. Santiago Montoya","CC-1490936389","Clínica Imbanaco (Cali)","Medicina Interna","VIAJES","2026-03-15","Cali","Gastos de traslado aéreo a congreso médico","Factura CO-20260315-94",2225986
"HCP","Dr. Claudia Echeverri","CC-1882784050","Hospital Pablo Tobón Uribe (Medellín)","Ginecología","VIAJES","2026-05-12","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260512-95",1089338
"INSTITUTION","Hospital Universitario San Ignacio (Bogotá)","NIT-133905533-1","","","HONORARIOS","2026-02-04","Cali","Docencia en conferencia regional de salud","Factura CO-20260204-96",2823016
"HCP","Dr. Daniel Ruiz","CC-1176677896","Fundación Santa Fe de Bogotá","Pediatría","DONACIONES","2026-04-16","Bogotá","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260416-97",13834035
"HCP","Dr. Daniel Gaviria","CE-806742","Hospital Universitario San Ignacio (Bogotá)","Ginecología","DONACIONES","2026-05-19","Bogotá","Beca de estudio científico institucional","Factura CO-20260519-98",11947297
"HCP","Dr. Sebastian Perez","CC-1105821679","Clínica Valle del Lili (Cali)","Neurología","DONACIONES","2026-05-02","Cali","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260502-99",23486491
"HCP","Dr. Felipe Romero","CC-1340381622","Hospital General de Medellín","Cirugía General","VIAJES","2026-03-02","Medellín","Gastos de viáticos internacionales","Factura CO-20260302-100",551088
"HCP","Dr. Camila Lopez","CE-653860","Clínica Foscal (Bucaramanga)","Dermatología","VIAJES","2026-02-26","Bucaramanga","Alojamiento en hotel para convención científica","Factura CO-20260226-101",4061042
"HCP","Dr. Luciana Perez","CC-1399635825","Fundación Santa Fe de Bogotá","Oncología","REUNIONES","2026-02-02","Bogotá","Participación en mesa redonda de oncología","Factura CO-20260202-102",141454
"HCP","Dr. Gabriela Lopez","CC-1321348539","Fundación Santa Fe de Bogotá","Pediatría","REUNIONES","2026-05-09","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260509-103",133891
"HCP","Dr. Diana Hernandez","CC-1034504742","Hospital General de Medellín","Medicina Interna","REUNIONES","2026-05-14","Medellín","Participación en mesa redonda de oncología","Factura CO-20260514-104",151964
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-586613860-0","","","HONORARIOS","2026-05-10","Villavicencio","Contrato de advisory board farmacéutico","Factura CO-20260510-105",2145152
"HCP","Dr. Salome Torres","CE-965001","Clínica Portoazul (Barranquilla)","Neurología","REUNIONES","2026-05-06","Barranquilla","Participación en mesa redonda de oncología","Factura CO-20260506-106",496572
"HCP","Dr. Daniel Munoz","CE-733929","Clínica Portoazul (Barranquilla)","Neurología","REUNIONES","2026-04-27","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260427-107",217598
"HCP","Dr. Santiago Munoz","CC-1502738518","Clínica Imbanaco (Cali)","Cardiología","HONORARIOS","2026-02-20","Cali","Docencia en conferencia regional de salud","Factura CO-20260220-108",661235
"HCP","Dr. Carolina Martinez","CC-1720490638","Clínica Foscal (Bucaramanga)","Pediatría","HONORARIOS","2026-03-02","Bucaramanga","Servicios de consultoría médica especializada","Factura CO-20260302-109",2495394
"HCP","Dr. Mateo Rojas","CC-1266717047","Clínica Foscal (Bucaramanga)","Cardiología","VIAJES","2026-01-29","Bucaramanga","Gastos de viáticos internacionales","Factura CO-20260129-110",3287339
"HCP","Dr. Carlos Sanchez","CC-1611476942","Hospital Pablo Tobón Uribe (Medellín)","Oncología","VIAJES","2026-05-17","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260517-111",2613537
"HCP","Dr. Claudia Hernandez","CC-1418043629","Clínica Valle del Lili (Cali)","Cardiología","REUNIONES","2026-02-07","Cali","Inscripción a simposio nacional de cardiología","Factura CO-20260207-112",50521
"HCP","Dr. Valeria Vargas","CC-1349439944","Clínica Imbanaco (Cali)","Medicina Interna","VIAJES","2026-01-27","Cali","Alojamiento en hotel para convención científica","Factura CO-20260127-113",874812
"HCP","Dr. Mateo Martinez","CC-1720636749","Fundación Santa Fe de Bogotá","Pediatría","HONORARIOS","2026-01-29","Bogotá","Servicios de consultoría médica especializada","Factura CO-20260129-114",1386881
"HCP","Dr. Camila Gaviria","CE-362189","Clínica Imbanaco (Cali)","Oncología","VIAJES","2026-03-08","Cali","Gastos de traslado aéreo a congreso médico","Factura CO-20260308-115",2348188
"HCP","Dr. Natalia Jimenez","CC-1733118796","Hospital Universitario San Ignacio (Bogotá)","Neurología","REUNIONES","2026-03-22","Bogotá","Inscripción a simposio nacional de cardiología","Factura CO-20260322-116",527769
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-423086151-5","","","VIAJES","2026-05-04","Villavicencio","Alojamiento en hotel para convención científica","Factura CO-20260504-117",2057021
"INSTITUTION","Clínica Imbanaco (Cali)","NIT-957969821-7","","","HONORARIOS","2026-03-02","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260302-118",4033070
"HCP","Dr. Carlos Uribe","CC-1218355348","Hospital General de Medellín","Dermatología","DONACIONES","2026-04-17","Medellín","Donación de equipo ecográfico portátil","Factura CO-20260417-119",11396787
"HCP","Dr. Valeria Diaz","CC-1369522817","Fundación Santa Fe de Bogotá","Ginecología","REUNIONES","2026-05-06","Bogotá","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260506-120",123629
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-713304992-7","","","REUNIONES","2026-02-09","Cali","Participación en mesa redonda de oncología","Factura CO-20260209-121",787459
"HCP","Dr. Santiago Perez","CC-1406915935","Clínica Portoazul (Barranquilla)","Ginecología","REUNIONES","2026-03-15","Barranquilla","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260315-122",102375
"HCP","Dr. Camila Ochoa","CC-1162209724","Fundación Cardioinfantil (Bogotá)","Radiología","DONACIONES","2026-05-06","Bogotá","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260506-123",23716292
"INSTITUTION","Clínica Foscal (Bucaramanga)","NIT-433801291-6","","","DONACIONES","2026-02-08","Barranquilla","Erogación de insumos médicos para cuidado intensivo","Factura CO-20260208-124",4934929
"HCP","Dr. Camila Gonzalez","CC-1678317273","Hospital Pablo Tobón Uribe (Medellín)","Ginecología","HONORARIOS","2026-05-14","Medellín","Contrato de advisory board farmacéutico","Factura CO-20260514-125",2907841
"HCP","Dr. Isabella Sanchez","CC-1584658426","Hospital Departamental de Villavicencio","Medicina Interna","HONORARIOS","2026-02-03","Villavicencio","Docencia en conferencia regional de salud","Factura CO-20260203-126",914119
"INSTITUTION","Hospital Pablo Tobón Uribe (Medellín)","NIT-945703278-9","","","REUNIONES","2026-04-15","Cali","Inscripción a simposio nacional de cardiología","Factura CO-20260415-127",66523
"HCP","Dr. Mariana Salazar","CC-1046299258","Hospital Pablo Tobón Uribe (Medellín)","Medicina Interna","VIAJES","2026-02-24","Medellín","Alojamiento en hotel para convención científica","Factura CO-20260224-128",3156144
"HCP","Dr. Daniel Restrepo","CC-1378760008","Clínica Foscal (Bucaramanga)","Medicina Interna","HONORARIOS","2026-05-12","Bucaramanga","Contrato de advisory board farmacéutico","Factura CO-20260512-129",1604549
"HCP","Dr. Gustavo Bermudez","CC-1491907370","Hospital Universitario San Ignacio (Bogotá)","Radiología","VIAJES","2026-05-20","Bogotá","Gastos de traslado aéreo a congreso médico","Factura CO-20260520-130",2343585
"HCP","Dr. Daniel Gaviria","CE-209616","Clínica Portoazul (Barranquilla)","Radiología","HONORARIOS","2026-01-28","Barranquilla","Asesoría científica en junta médica","Factura CO-20260128-131",464882
"INSTITUTION","Fundación Cardioinfantil (Bogotá)","NIT-793789594-9","","","HONORARIOS","2026-03-12","Villavicencio","Asesoría científica en junta médica","Factura CO-20260312-132",1931416
"INSTITUTION","Hospital Pablo Tobón Uribe (Medellín)","NIT-349187846-1","","","REUNIONES","2026-02-11","Medellín","Inscripción a simposio nacional de cardiología","Factura CO-20260211-133",236399
"HCP","Dr. Jorge Gutierrez","CC-1130109085","Fundación Cardioinfantil (Bogotá)","Medicina Interna","VIAJES","2026-02-18","Bogotá","Gastos de viáticos internacionales","Factura CO-20260218-134",549660
"HCP","Dr. Gustavo Rodriguez","CC-1706049042","Hospital Universitario San Ignacio (Bogotá)","Oncología","HONORARIOS","2026-03-25","Bogotá","Docencia en conferencia regional de salud","Factura CO-20260325-135",1956247
"INSTITUTION","Hospital General de Medellín","NIT-726026844-9","","","HONORARIOS","2026-04-30","Cali","Servicios de consultoría médica especializada","Factura CO-20260430-136",1295268
"HCP","Dr. Sebastian Castro","CC-1432946166","Clínica Imbanaco (Cali)","Neurología","REUNIONES","2026-03-30","Cali","Almuerzo de trabajo clínico inter-institucional","Factura CO-20260330-137",636470
"HCP","Dr. Natalia Velasquez","CC-1091690106","Clínica Foscal (Bucaramanga)","Oncología","VIAJES","2026-02-03","Bucaramanga","Alojamiento en hotel para convención científica","Factura CO-20260203-138",3989724
