"Recipient Type","Recipient Name","Codice Fiscale","Struttura","Specializzazione","Tipologia","Data","Place","Oggetto","Dettagli","Amount"
"HCP","Dr. Beatrice Moretti","","Ospedale Cardarelli (Napoli)","Medicina Interna","CONSULTANCY","2026-02-12","Bari","Relazione scientifica convegno","Fattura IT-20260212-15",690
"HCP","Dr. Gabriele Romano","RMNGBR67R01F205H","Policlinico Gemelli (Roma)","Neurologia","DONAZIONI","2026-01-14","Roma","Donazione apparecchio ecografico","Fattura IT-20260114-16",745
"HCP","Dr. Giovanni De Luca","DLCGVN79M20F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","DONAZIONI","2026-01-16","Napoli","Erogazione per attrezzature di reparto","Fattura IT-20260116-17",586
"HCP","Dr. Marco Russo","RSSMRC71H08F205H","Ospedale San Raffaele (Milano)","Neurologia","PRESENTATION","2026-04-23","Firenze","Briefing scientifico aziendale","Fattura IT-20260423-18",795
"HCP","Dr. Silvia Marino","MRNSLV56P09F205H","Policlinico di Bari","Dermatologia","CONSULTANCY","2026-03-04","Torino","Partecipazione tavola rotonda","Fattura IT-20260304-19",586
"HCP","Dr. Alice Rizzo","RZZLCL80H07F205H","Ospedale Sant'Orsola (Bologna)","Neurologia","CONSULTANCY","2026-05-12","Napoli","Relazione scientifica convegno","Fattura IT-20260512-20",816
"HCP","Dr. Alessandro De Luca","DLCLSS87L27F205H","Ospedale Careggi (Firenze)","Anestesiologia","CONVENZIONI","2026-04-11","Bologna","Supporto alla ricerca clinica","Fattura IT-20260411-21",475
"HCP","Dr. Antonio Esposito","SPSNTN65L10F205H","Ospedale Molinette (Torino)","Ginecologia","CONFERENCE_SUPPORT","2026-05-20","Padova","Quota di iscrizione congresso","Fattura IT-20260520-22",819
"INSTITUTION","Ospedale Cardarelli (Napoli)","PI713003114","","","CONSULTANCY","2026-05-19","Milano","Consulenza tecnica di prodotto","Fattura IT-20260519-23",387
"INSTITUTION","Ospedale Cardarelli (Napoli)","PI742426743","","","CONFERENCE_SUPPORT","2026-04-29","Roma","Quota di iscrizione congresso","Fattura IT-20260429-24",67
"HCP","Dr. Gabriele Conti","INVALID_CF_123","Ospedale Careggi (Firenze)","Neurologia","CONFERENCE_SUPPORT","2026-03-26","Bologna","Rimborso spese viaggio e alloggio","Fattura IT-20260326-25",294
"HCP","Dr. Aurora Mancini","MNCRRR64T14F205H","Policlinico Gemelli (Roma)","Pediatria","PRESENTATION","2026-03-14","Roma","Briefing scientifico aziendale","Fattura IT-20260314-26",66
"HCP","Dr. Silvia Greco","GRCSLV76L20F205H","Ospedale Cardarelli (Napoli)","Ginecologia","CONSULTANCY","2026-04-13","Bari","Consulenza tecnica di prodotto","Fattura IT-20260413-27",668
"HCP","Dr. Andrea Mancini","MNCNDR83S17F205H","Ospedale San Raffaele (Milano)","Oncologia","PRESENTATION","2026-02-19","Firenze","Presentazione di prodotto farmaceutico","Fattura IT-20260219-28",427
"HCP","Dr. Sofia Rinaldi","RNLSFS76B06F205H","Ospedale Careggi (Firenze)","Medicina Interna","CONVENZIONI","2026-02-11","Bologna","Supporto alla ricerca clinica","Fattura IT-20260211-29",815
"HCP","Dr. Davide Barbier","BRBDVD75T22F205H","Ospedale San Martino (Genova)","Neurologia","CONFERENCE_SUPPORT","2026-02-04","Palermo","Copertura spese di ospitalità","Fattura IT-20260204-30",160
"HCP","Dr. Pietro Rinaldi","RNLPTR78D25F205H","Ospedale Civile di Padova","Pediatria","PRESENTATION","2026-02-04","Genova","Presentazione di prodotto farmaceutico","Fattura IT-20260204-31",644
"HCP","Dr. Alice Ferraro","FRRLCL79E12F205H","Policlinico di Bari","Cardiologia","PRESENTATION","2026-05-19","Torino","Briefing scientifico aziendale","Fattura IT-20260519-32",397
"HCP","Dr. Chiara Costa","CSTCHR86C28F205H","Ospedale Sant'Orsola (Bologna)","Oncologia","DONAZIONI","2026-05-07","Napoli","Erogazione per attrezzature di reparto","Fattura IT-20260507-33",2288
"HCP","Dr. Sofia De Luca","DLCSFS75D01F205H","Policlinico di Bari","Medicina Interna","CONSULTANCY","2026-04-28","Torino","Relazione scientifica convegno","Fattura IT-20260428-34",641
"HCP","Dr. Francesca Barbier","BRBFRN67C07F205H","Ospedale Cardarelli (Napoli)","Radiologia","CONFERENCE_SUPPORT","2026-02-24","Bari","Copertura spese di ospitalità","Fattura IT-20260224-35",322
"HCP","Dr. Davide Greco","GRCDVD63T18F205H","Ospedale Niguarda (Milano)","Oncologia","CONSULTANCY","2026-04-02","Milano","Partecipazione tavola rotonda","Fattura IT-20260402-36",128
"INSTITUTION","Ospedale Civile di Padova","PI642009024","","","CONFERENCE_SUPPORT","2026-02-21","Palermo","Quota di iscrizione congresso","Fattura IT-20260221-37",566
"HCP","Dr. Gabriele Moretti","MRTGBR81C12F205H","Ospedale San Raffaele (Milano)","Pediatria","PRESENTATION","2026-01-22","Firenze","Briefing scientifico aziendale","Fattura IT-20260122-38",774
"HCP","Dr. Francesca Bianchi","BNCFRN80T24F205H","Ospedale San Martino (Genova)","Chirurgia Generale","CONFERENCE_SUPPORT","2026-01-19","Palermo","Quota di iscrizione congresso","Fattura IT-20260119-39",815
"HCP","Dr. Riccardo Rizzo","RZZRCC84B16F205H","Ospedale Civile di Padova","Anestesiologia","PRESENTATION","2026-03-03","Genova","Briefing scientifico aziendale","Fattura IT-20260303-40",331
"HCP","Dr. Leonardo Vinci","VNCLNR61H22F205H","Policlinico di Bari","Pediatria","PRESENTATION","2026-04-18","Torino","Presentazione di prodotto farmaceutico","Fattura IT-20260418-41",745
"HCP","Dr. Mattia Russo","RSSMTT79E09F205H","Ospedale Niguarda (Milano)","Medicina Interna","DONAZIONI","2026-04-09","Milano","Supporto liberale borse di studio","Fattura IT-20260409-42",1791
"HCP","Dr. Francesco Ferraro","FRRFRN71A02F205H","Policlinico Gemelli (Roma)","Chirurgia Generale","CONVENZIONI","2026-05-15","Roma","Accordo di consulenza scientifica","Fattura IT-20260515-43",382
"HCP","Dr. Chiara Lombardi","LMBCHR77H19F205H","Ospedale Cardarelli (Napoli)","Cardiologia","DONAZIONI","2026-05-23","Bari","Supporto liberale borse di studio","Fattura IT-20260523-44",1108
"INSTITUTION","Ospedale Molinette (Torino)","PI332216098","","","CONVENZIONI","2026-01-28","Firenze","Accordo di consulenza scientifica","Fattura IT-20260128-45",190
"HCP","Dr. Giorgia Gallo","GLLGRG79S25F205H","Policlinico Gemelli (Roma)","Radiologia","DONAZIONI","2026-04-20","Roma","Donazione apparecchio ecografico","Fattura IT-20260420-46",1179
"HCP","Dr. Pietro Greco","GRCPTR56A05F205H","Policlinico Gemelli (Roma)","Anestesiologia","PRESENTATION","2026-01-19","Roma","Presentazione di prodotto farmaceutico","Fattura IT-20260119-47",823
"HCP","Dr. Antonio Conti","CNTNTN75L10F205H","Ospedale Cardarelli (Napoli)","Neurologia","CONVENZIONI","2026-02-12","Bari","Contratto di advisory board","Fattura IT-20260212-48",389
"HCP","Dr. Pietro Ferraro","FRRPTR64R27F205H","Policlinico di Bari","Dermatologia","PRESENTATION","2026-01-15","Torino","Briefing scientifico aziendale","Fattura IT-20260115-49",281
"HCP","Dr. Chiara Caruso","CRSCHR88A26F205H","Ospedale Sant'Orsola (Bologna)","Chirurgia Generale","DONAZIONI","2026-01-20","Napoli","Erogazione per attrezzature di reparto","Fattura IT-20260120-50",1914
"INSTITUTION","Policlinico Gemelli (Roma)","PI856380041","","","PRESENTATION","2026-02-19","Palermo","Briefing scientifico aziendale","Fattura IT-20260219-51",771
"HCP","Dr. Pietro Ferrari","FRRPTR58D04F205H","Ospedale Niguarda (Milano)","Ginecologia","CONFERENCE_SUPPORT","2026-01-28","Milano","Rimborso spese viaggio e alloggio","Fattura IT-20260128-52",753
"HCP","Dr. Aurora Bianchi","BNCRRR84E13F205H","Ospedale Civile di Padova","Dermatologia","CONSULTANCY","2026-03-18","Genova","Relazione scientifica convegno","Fattura IT-20260318-53",437
"HCP","Dr. Giovanni Caruso","CRSGVN61B25F205H","Ospedale Cardarelli (Napoli)","Pediatria","DONAZIONI","2026-03-08","Bari","Erogazione per attrezzature di reparto","Fattura IT-20260308-54",2228
"HCP","Dr. Leonardo Ricci","RCCLNR82D28F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","CONSULTANCY","2026-05-22","Napoli","Relazione scientifica convegno","Fattura IT-20260522-55",505
"HCP","Dr. Giovanni Romano","RMNGVN86H07F205H","Ospedale Niguarda (Milano)","Anestesiologia","CONSULTANCY","2026-05-14","Milano","Consulenza tecnica di prodotto","Fattura IT-20260514-56",256
"HCP","Dr. Valeria Gallo","GLLVLR80E25F205H","Policlinico di Bari","Cardiologia","CONVENZIONI","2026-01-16","Torino","Supporto alla ricerca clinica","Fattura IT-20260116-57",736
"HCP","Dr. Francesco Santoro","SNTFRN85M20F205H","Ospedale San Raffaele (Milano)","Neurologia","CONSULTANCY","2026-02-19","Firenze","Consulenza tecnica di prodotto","Fattura IT-20260219-58",542
"HCP","Dr. Greta De Luca","DLCGRT61A20F205H","Ospedale San Raffaele (Milano)","Radiologia","CONFERENCE_SUPPORT","2026-04-01","Firenze","Rimborso spese viaggio e alloggio","Fattura IT-20260401-59",254
"HCP","Dr. Luca Rinaldi","RNLLCL57C14F205H","Policlinico Gemelli (Roma)","Chirurgia Generale","CONVENZIONI","2026-04-20","Roma","Supporto alla ricerca clinica","Fattura IT-20260420-60",197
"HCP","Dr. Francesca Rinaldi","RNLFRN58A12F205H","Ospedale Cardarelli (Napoli)","Dermatologia","DONAZIONI","2026-04-22","Bari","Erogazione per attrezzature di reparto","Fattura IT-20260422-61",985
"HCP","Dr. Riccardo Ricci","RCCRCC50R15F205H","Ospedale Sant'Orsola (Bologna)","Neurologia","PRESENTATION","2026-01-07","Napoli","Presentazione di prodotto farmaceutico","Fattura IT-20260107-62",308
"HCP","Dr. Greta Giordano","GRDGRT50M04F205H","Ospedale Cardarelli (Napoli)","Chirurgia Generale","DONAZIONI","2026-01-03","Bari","Donazione materiale didattico","Fattura IT-20260103-63",1857
"HCP","Dr. Matteo Russo","RSSMTT53E26F205H","Policlinico di Bari","Neurologia","PRESENTATION","2026-05-13","Torino","Briefing scientifico aziendale","Fattura IT-20260513-64",497
"HCP","Dr. Antonio Rinaldi","RNLNTN53H02F205H","Ospedale Civile di Padova","Radiologia","PRESENTATION","2026-02-21","Genova","Presentazione di prodotto farmaceutico","Fattura IT-20260221-65",399
"HCP","Dr. Giorgia Costa","CSTGRG69B11F205H","Ospedale San Raffaele (Milano)","Radiologia","CONFERENCE_SUPPORT","2026-03-06","Firenze","Copertura spese di ospitalità","Fattura IT-20260306-66",352
"HCP","Dr. Ludovica Ferrari","FRRLDV55M05F205H","Ospedale Sant'Orsola (Bologna)","Medicina Interna","CONSULTANCY","2026-05-04","Napoli","Relazione scientifica convegno","Fattura IT-20260504-67",591
"HCP","Dr. Gabriele Esposito","SPSGBR84C02F205H","Ospedale Civile di Padova","Oncologia","CONVENZIONI","2026-01-20","Genova","Supporto alla ricerca clinica","Fattura IT-20260120-68",846
"HCP","Dr. Beatrice Rizzo","RZZBTR79P27F205H","Ospedale Niguarda (Milano)","Medicina Interna","CONVENZIONI","2026-04-25","Milano","Contratto di advisory board","Fattura IT-20260425-69",625
"HCP","Dr. Davide Santoro","SNTDVD82T05F205H","Policlinico di Bari","Anestesiologia","DONAZIONI","2026-03-25","Torino","Supporto liberale borse di studio","Fattura IT-20260325-70",1791
"HCP","Dr. Aurora Vinci","VNCRRR77P13F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","CONVENZIONI","2026-01-07","Napoli","Accordo di consulenza scientifica","Fattura IT-20260107-71",472
"INSTITUTION","Ospedale Careggi (Firenze)","PI833376954","","","CONSULTANCY","2026-02-25","Bologna","Relazione scientifica convegno","Fattura IT-20260225-72",523
"HCP","Dr. Giulia Costa","CSTGLG58R23F205H","Ospedale Careggi (Firenze)","Radiologia","CONFERENCE_SUPPORT","2025-12-28","Bologna","Rimborso spese viaggio e alloggio","Fattura IT-20251228-73",108
"HCP","Dr. Paola Mancini","MNCPLP54S18F205H","Ospedale Molinette (Torino)","Chirurgia Generale","CONSULTANCY","2026-03-22","Padova","Partecipazione tavola rotonda","Fattura IT-20260322-74",706
"HCP","Dr. Giovanni Greco","GRCGVN88P01F205H","Ospedale Niguarda (Milano)","Chirurgia Generale","CONSULTANCY","2026-04-20","Milano","Partecipazione tavola rotonda","Fattura IT-20260420-75",615
"INSTITUTION","Ospedale Sant'Orsola (Bologna)","PI437165706","","","DONAZIONI","2026-05-03","Milano","Erogazione per attrezzature di reparto","Fattura IT-20260503-76",2183
"HCP","Dr. Andrea Pellegrini","PLLNDR73L22F205H","Ospedale San Raffaele (Milano)","Radiologia","CONVENZIONI","2026-04-22","Firenze","Supporto alla ricerca clinica","Fattura IT-20260422-77",212
"HCP","Dr. Riccardo Russo","RSSRCC83L11F205H","Policlinico di Bari","Ginecologia","PRESENTATION","2026-02-24","Torino","Presentazione di prodotto farmaceutico","Fattura IT-20260224-78",513
"HCP","Dr. Silvia Gatti","GTTSLV80H27F205H","Ospedale San Martino (Genova)","Dermatologia","DONAZIONI","2026-04-15","Palermo","Supporto liberale borse di studio","Fattura IT-20260415-79",1807
"HCP","Dr. Chiara Barbier","BRBCHR65T22F205H","Policlinico di Bari","Neurologia","CONFERENCE_SUPPORT","2026-02-27","Torino","Quota di iscrizione congresso","Fattura IT-20260227-80",651
"HCP","Dr. Silvia Bruno","BRNSLV77C10F205H","Ospedale Niguarda (Milano)","Cardiologia","CONVENZIONI","2026-01-08","Milano","Incarico di docenza per seminario","Fattura IT-20260108-81",431
"HCP","Dr. Andrea Bruno","BRNNDR77M19F205H","Policlinico Gemelli (Roma)","Radiologia","CONVENZIONI","2026-05-24","Roma","Contratto di advisory board","Fattura IT-20260524-82",707
"HCP","Dr. Valeria Bruno","BRNVLR81H28F205H","Policlinico di Bari","Pediatria","CONSULTANCY","2026-02-23","Torino","Relazione scientifica convegno","Fattura IT-20260223-83",523
"HCP","Dr. Riccardo Giordano","GRDRCC56L21F205H","Ospedale San Martino (Genova)","Pediatria","CONSULTANCY","2026-03-10","Palermo","Partecipazione tavola rotonda","Fattura IT-20260310-84",372
"INSTITUTION","Ospedale Cardarelli (Napoli)","PI711410203","","","DONAZIONI","2026-04-14","Milano","Donazione apparecchio ecografico","Fattura IT-20260414-85",1237
"HCP","Dr. Sofia Russo","RSSSFS74T03F205H","Ospedale Cardarelli (Napoli)","Oncologia","CONVENZIONI","2026-04-23","Bari","Accordo di consulenza scientifica","Fattura IT-20260423-86",529
"HCP","Dr. Greta Colombo","CLMGRT78E11F205H","Policlinico di Bari","Oncologia","CONFERENCE_SUPPORT","2026-04-24","Torino","Quota di iscrizione congresso","Fattura IT-20260424-87",253
"HCP","Dr. Francesca Moretti","MRTFRN64B20F205H","Ospedale Niguarda (Milano)","Oncologia","DONAZIONI","2026-03-05","Milano","Supporto liberale borse di studio","Fattura IT-20260305-88",2268
"HCP","Dr. Paola Costa","CSTPLP80M07F205H","Ospedale Sant'Orsola (Bologna)","Chirurgia Generale","PRESENTATION","2026-05-23","Napoli","Briefing scientifico aziendale","Fattura IT-20260523-89",496
"HCP","Dr. Antonio Marino","MRNNTN53M09F205H","Ospedale San Martino (Genova)","Anestesiologia","DONAZIONI","2026-03-30","Palermo","Erogazione per attrezzature di reparto","Fattura IT-20260330-90",2235
"HCP","Dr. Antonio Russo","RSSNTN72R16F205H","Ospedale San Martino (Genova)","Ginecologia","CONVENZIONI","2026-04-05","Palermo","Supporto alla ricerca clinica","Fattura IT-20260405-91",419
"HCP","Dr. Silvia Colombo","CLMSLV65H12F205H","Ospedale San Raffaele (Milano)","Dermatologia","DONAZIONI","2026-02-04","Firenze","Donazione materiale didattico","Fattura IT-20260204-92",1925
"INSTITUTION","Ospedale Civile di Padova","PI966172218","","","CONSULTANCY","2026-03-18","Padova","Relazione scientifica convegno","Fattura IT-20260318-93",824
"HCP","Dr. Alice Gallo","GLLLCL77C22F205H","Ospedale Cardarelli (Napoli)","Medicina Interna","CONVENZIONI","2026-02-28","Bari","Contratto di advisory board","Fattura IT-20260228-94",1579
"HCP","Dr. Paola De Luca","DLCPLP88M15F205H","Ospedale Civile di Padova","Cardiologia","CONSULTANCY","2026-03-12","Genova","Relazione scientifica convegno","Fattura IT-20260312-95",334
"HCP","Dr. Paola Romano","RMNPLP83C15F205H","Ospedale San Martino (Genova)","Neurologia","CONSULTANCY","2025-12-30","Palermo","Relazione scientifica convegno","Fattura IT-20251230-96",235
"HCP","Dr. Antonio Barbier","BRBNTN54T11F205H","Ospedale Cardarelli (Napoli)","Medicina Interna","PRESENTATION","2025-12-26","Bari","Presentazione di prodotto farmaceutico","Fattura IT-20251226-97",626
"HCP","Dr. Luca Mancini","MNCLCL83D17F205H","Ospedale Civile di Padova","Medicina Interna","CONSULTANCY","2025-12-31","Genova","Partecipazione tavola rotonda","Fattura IT-20251231-98",610
"HCP","Dr. Pietro Santoro","SNTPTR89S14F205H","Ospedale Molinette (Torino)","Anestesiologia","CONSULTANCY","2026-05-21","Padova","Partecipazione tavola rotonda","Fattura IT-20260521-99",512
"HCP","Dr. Giulia Greco","GRCGLG70R19F205H","Ospedale Civile di Padova","Cardiologia","CONVENZIONI","2026-02-04","Genova","Contratto di advisory board","Fattura IT-20260204-100",607
"HCP","Dr. Aurora Gallo","GLLRRR86B28F205H","Ospedale Careggi (Firenze)","Anestesiologia","CONVENZIONI","2026-04-19","Bologna","Incarico di docenza per seminario","Fattura IT-20260419-101",608
"INSTITUTION","Ospedale Civile di Padova","PI256263994","","","CONVENZIONI","2026-05-08","Napoli","Incarico di docenza per seminario","Fattura IT-20260508-102",304
"HCP","Dr. Francesco Rizzo","RZZFRN79S07F205H","Ospedale Sant'Orsola (Bologna)","Cardiologia","CONVENZIONI","2026-02-08","Napoli","Contratto di advisory board","Fattura IT-20260208-103",825
"HCP","Dr. Silvia Mariani","MRNSLV54M14F205H","Ospedale San Martino (Genova)","Radiologia","CONSULTANCY","2026-03-28","Palermo","Consulenza tecnica di prodotto","Fattura IT-20260328-104",127
"HCP","Dr. Giorgia Mariani","MRNGRG80E20F205H","Ospedale Cardarelli (Napoli)","Pediatria","CONFERENCE_SUPPORT","2026-03-01","Bari","Copertura spese di ospitalità","Fattura IT-20260301-105",151
"HCP","Dr. Antonio Ferrari","FRRNTN68L02F205H","Ospedale Cardarelli (Napoli)","Oncologia","CONSULTANCY","2026-03-31","Bari","Consulenza tecnica di prodotto","Fattura IT-20260331-106",348
"HCP","Dr. Pietro Russo","RSSPTR58D25F205H","Policlinico di Bari","Anestesiologia","PRESENTATION","2026-04-09","Torino","Briefing scientifico aziendale","Fattura IT-20260409-107",550
"HCP","Dr. Valeria Gallo","GLLVLR71C09F205H","Ospedale Molinette (Torino)","Cardiologia","DONAZIONI","2026-04-18","Padova","Donazione apparecchio ecografico","Fattura IT-20260418-108",728
"HCP","Dr. Giorgia Moretti","MRTGRG71S14F205H","Ospedale San Raffaele (Milano)","Radiologia","DONAZIONI","2026-04-22","Firenze","Donazione materiale didattico","Fattura IT-20260422-109",1458
"INSTITUTION","Ospedale Niguarda (Milano)","PI792861663","","","CONVENZIONI","2026-03-07","Firenze","Incarico di docenza per seminario","Fattura IT-20260307-110",635
"INSTITUTION","Ospedale Molinette (Torino)","PI755559611","","","CONFERENCE_SUPPORT","2026-04-03","Genova","Copertura spese di ospitalità","Fattura IT-20260403-111",339
"HCP","Dr. Marco Gallo","GLLMRC87S09F205H","Ospedale Cardarelli (Napoli)","Ginecologia","CONSULTANCY","2026-03-29","Bari","Relazione scientifica convegno","Fattura IT-20260329-112",88
"HCP","Dr. Alessandro Moretti","MRTLSS67S08F205H","Policlinico di Bari","Dermatologia","DONAZIONI","2026-02-10","Torino","Donazione apparecchio ecografico","Fattura IT-20260210-113",1831
"HCP","Dr. Filippo Bianchi","BNCFLP73C08F205H","Ospedale Cardarelli (Napoli)","Neurologia","PRESENTATION","2026-05-08","Bari","Presentazione di prodotto farmaceutico","Fattura IT-20260508-114",624
"INSTITUTION","Ospedale Cardarelli (Napoli)","PI203605315","","","CONSULTANCY","2026-03-21","Torino","Consulenza tecnica di prodotto","Fattura IT-20260321-115",635
"HCP","Dr. Antonio Fontana","FNTNTN78C05F205H","Ospedale San Raffaele (Milano)","Chirurgia Generale","PRESENTATION","2026-04-29","Firenze","Presentazione di prodotto farmaceutico","Fattura IT-20260429-116",272
"HCP","Dr. Matteo Moretti","MRTMTT66B28F205H","Ospedale San Martino (Genova)","Anestesiologia","DONAZIONI","2026-04-15","Palermo","Erogazione per attrezzature di reparto","Fattura IT-20260415-117",2487
"HCP","Dr. Lorenzo Greco","GRCLRN50L01F205H","Ospedale Sant'Orsola (Bologna)","Oncologia","CONFERENCE_SUPPORT","2026-05-19","Napoli","Quota di iscrizione congresso","Fattura IT-20260519-118",163
"HCP","Dr. Filippo Costa","CSTFLP76D05F205H","Ospedale Cardarelli (Napoli)","Dermatologia","CONSULTANCY","2026-03-08","Bari","Partecipazione tavola rotonda","Fattura IT-20260308-119",483
"HCP","Dr. Aurora Barbier","BRBRRR61H28F205H","Ospedale Civile di Padova","Ginecologia","CONVENZIONI","2026-05-05","Genova","Supporto alla ricerca clinica","Fattura IT-20260505-120",210
"HCP","Dr. Paola Moretti","MRTPLP85H23F205H","Ospedale Molinette (Torino)","Radiologia","PRESENTATION","2026-03-26","Padova","Briefing scientifico aziendale","Fattura IT-20260326-121",392
"HCP","Dr. Greta Fontana","FNTGRT53C09F205H","Ospedale Civile di Padova","Medicina Interna","CONSULTANCY","2026-01-17","Genova","Partecipazione tavola rotonda","Fattura IT-20260117-122",103
"HCP","Dr. Antonio Rizzo","RZZNTN64T25F205H","Ospedale Sant'Orsola (Bologna)","Ginecologia","CONFERENCE_SUPPORT","2026-03-25","Napoli","Rimborso spese viaggio e alloggio","Fattura IT-20260325-123",241
"INSTITUTION","Ospedale Sant'Orsola (Bologna)","PI208282108","","","CONSULTANCY","2026-01-13","Bologna","Relazione scientifica convegno","Fattura IT-20260113-124",470
"HCP","Dr. Gabriele Bianchi","BNCGBR62S11F205H","Ospedale Molinette (Torino)","Medicina Interna","CONSULTANCY","2026-03-29","Padova","Partecipazione tavola rotonda","Fattura IT-20260329-125",841
"HCP","Dr. Giovanni Bruno","BRNGVN77A04F205H","Policlinico di Bari","Medicina Interna","DONAZIONI","2026-04-25","Torino","Donazione materiale didattico","Fattura IT-20260425-126",5755
"HCP","Dr. Mattia Esposito","SPSMTT85T16F205H","Ospedale Cardarelli (Napoli)","Neurologia","DONAZIONI","2026-03-12","Bari","Erogazione per attrezzature di reparto","Fattura IT-20260312-127",718
"HCP","Dr. Silvia Ferraro","FRRSLV57A04F205H","Policlinico Gemelli (Roma)","Dermatologia","DONAZIONI","2026-04-30","Roma","Donazione apparecchio ecografico","Fattura IT-20260430-128",999
"HCP","Dr. Alice Gallo","GLLLCL53L02F205H","Ospedale Civile di Padova","Chirurgia Generale","CONFERENCE_SUPPORT","2026-01-14","Genova","Quota di iscrizione congresso","Fattura IT-20260114-129",561
"HCP","Dr. Leonardo Rinaldi","RNLLNR62R21F205H","Policlinico di Bari","Ginecologia","PRESENTATION","2026-05-04","Torino","Briefing scientifico aziendale","Fattura IT-20260504-130",390
"HCP","Dr. Aurora Ricci","RCCRRR54A18F205H","Ospedale Careggi (Firenze)","Oncologia","CONSULTANCY","2026-03-19","Bologna","Partecipazione tavola rotonda","Fattura IT-20260319-131",426
"INSTITUTION","Ospedale San Raffaele (Milano)","PI379378835","","","PRESENTATION","2026-05-19","Palermo","Briefing scientifico aziendale","Fattura IT-20260519-132",325
"HCP","Dr. Leonardo Gatti","GTTLNR82P05F205H","Ospedale Cardarelli (Napoli)","Neurologia","CONSULTANCY","2026-04-05","Bari","Partecipazione tavola rotonda","Fattura IT-20260405-133",473
"HCP","Dr. Pietro Mariani","MRNPTR62P15F205H","Ospedale Cardarelli (Napoli)","Dermatologia","CONVENZIONI","2026-05-11","Bari","Supporto alla ricerca clinica","Fattura IT-20260511-134",1509
"HCP","Dr. Silvia Romano","RMNSLV86T14F205H","Ospedale San Martino (Genova)","Radiologia","PRESENTATION","2026-05-22","Palermo","Briefing scientifico aziendale","Fattura IT-20260522-135",512
"INSTITUTION","Policlinico Gemelli (Roma)","PI871262424","","","CONVENZIONI","2026-05-21","Palermo","Contratto di advisory board","Fattura IT-20260521-136",538
"HCP","Dr. Beatrice Lombardi","LMBBTR51H25F205H","Ospedale San Raffaele (Milano)","Pediatria","CONSULTANCY","2026-04-03","Firenze","Consulenza tecnica di prodotto","Fattura IT-20260403-137",613
